ID,BIRTHDATE,Age,DEATHDATE,SSN,FIRST,LAST,MARITAL,RACE,ETHNICITY,GENDER,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
2de771bf-befb-4d42-944f-d8a9c5242678,8/26/1971,49,,999-10-1119,Adelaida985,Kertzmann286,M,white,nonhispanic,F,186 Murray Park,Winthrop,Massachusetts,Suffolk County,2128,42.40442297,-70.97690782,1030183.31,6301.44
cf73a172-f375-4305-bfc8-ea8b00f158af,8/27/2008,12,,999-10-1145,Benita195,Monahan736,,black,nonhispanic,F,996 Balistreri Parade Apt 65,Andover,Massachusetts,Essex County,1810,42.60033389,-71.15237751,249003.76,3468.08
8b04c1bf-1c15-4253-aed6-f4955ee75f96,8/16/1949,71,,999-10-1427,Dusty207,Kulas532,M,white,nonhispanic,F,803 Corkery Walk,Medford,Massachusetts,Middlesex County,2155,42.39938649,-71.0610112,1400856.54,15275.13
b5774f03-07ab-4a16-8f24-9dcf1871e382,9/4/1998,22,,999-10-1440,Kay203,Bosco882,,white,nonhispanic,F,692 Klein Knoll Unit 61,Stoughton,Massachusetts,Norfolk County,,42.1564312,-71.06658855,7398.5,0
0b1facbc-f3e5-416a-8cf9-15dc7be16da9,5/29/1962,58,,999-10-1567,Horacio317,Balderas66,M,white,hispanic,M,257 Deckow Village,Stoneham,Massachusetts,Middlesex County,2180,42.43509548,-71.11385988,1260667.46,5673.14
dd40adb2-446d-4418-8313-86977ca44b35,10/1/1952,68,,999-10-1608,Curt84,Glover433,M,white,nonhispanic,M,351 Feeney Plaza,Acushnet,Massachusetts,Bristol County,,41.69554061,-70.88502487,1424598,24913.42
34016752-9ac8-4377-a3ea-1484ba81de7f,6/15/1964,56,,999-10-1704,William805,Marks830,M,white,nonhispanic,M,383 Olson Viaduct Unit 17,Everett,Massachusetts,Middlesex County,,42.39439325,-71.0641262,1163887.15,5888.52
07defa61-9d98-4983-a8e1-d80c5b9804ee,10/23/1991,28,,999-10-1727,Vicki422,Watsica258,M,white,nonhispanic,F,1047 Altenwerth Parade,Boston,Massachusetts,Suffolk County,2111,42.32513734,-71.09485484,88541.71,3868.84
c8667048-2a41-41c3-8f6f-bd030b0e2e56,7/1/1995,25,,999-10-1732,Jovan870,Herzog843,,white,nonhispanic,F,423 Medhurst Dam Apt 97,Boston,Massachusetts,Suffolk County,2210,42.3037392,-71.10759177,510242.65,4594.56
49d09b10-cb99-49ad-b0e4-9c4bec466fab,8/7/1937,83,9/21/08,999-10-1793,Rosalee63,Johnson679,M,white,nonhispanic,F,800 Hudson Run Unit 43,Stoughton,Massachusetts,Norfolk County,,42.08548186,-71.11169707,1461508.92,17328.61
b057a08c-5cdd-436a-9096-cde13047fce9,10/12/1935,84,1/17/76,999-10-1820,Demarcus108,Bauch723,M,white,nonhispanic,M,875 Berge Bay Suite 61,Orleans,Massachusetts,Barnstable County,2653,41.78966084,-70.01745613,875068.81,2708
118ad0fc-dbd4-4a9e-b1ca-0db542baa7ac,4/27/2001,19,,999-10-1822,Reta616,Botsford977,,white,nonhispanic,F,1009 Predovic Drive,Peabody,Massachusetts,Essex County,1960,42.50906604,-70.92791518,414464.58,3270.56
39fb396e-e07b-4dd4-8a45-4060f4d42b70,7/10/1984,36,,999-10-1847,Mario764,Reilly981,M,white,nonhispanic,F,326 Ritchie Trafficway,Saugus,Massachusetts,Essex County,,42.51730399,-71.02567381,793130.41,7200.08
6f8d1314-e889-410c-bc32-af22e158623d,6/26/1939,81,,999-10-1951,Maryland870,Roberts511,S,white,nonhispanic,F,882 Mohr Frontage road Suite 31,Shrewsbury,Massachusetts,Worcester County,,42.25664537,-71.6802898,1535984.75,15782.74
d54c7c58-c318-4830-892f-f81d4065bc91,6/16/1942,78,,999-10-2080,Charlie254,Koch169,M,white,nonhispanic,M,702 Satterfield Parade,Hopkinton,Massachusetts,Middlesex County,,42.22484801,-71.51791884,1451893.42,13502.85
b6b22e31-6cbf-4c95-b6f6-dc25f272bed8,11/8/1958,61,,999-10-2107,Chelsie189,Wilderman619,M,asian,nonhispanic,F,287 Stiedemann Hollow,Lynn,Massachusetts,Essex County,1902,42.43134252,-70.92927026,1237341.78,13903.67
8f741d40-25a9-41ec-8f45-dcf567d9f5d9,5/13/1989,31,,999-10-2158,Verdie59,West559,M,white,nonhispanic,F,508 Barrows Bay Suite 63,Worcester,Massachusetts,Worcester County,1607,42.21557299,-71.84888056,784265.83,4778.13
b999193f-f04f-4309-a08c-6be1712dc2e3,10/23/1960,59,,999-10-2289,Lucina142,McClure239,S,white,nonhispanic,F,559 Pollich Skyway Apt 72,Gloucester,Massachusetts,Essex County,1930,42.59049986,-70.69451483,50111.27,4375.09
bebd9da6-89b7-4445-9b6b-594f98da160d,6/21/1974,46,,999-10-2484,Monique148,Kovacek682,M,white,nonhispanic,F,1094 Jacobson Lock Apt 14,Dunstable,Massachusetts,Middlesex County,,42.62811596,-71.45882963,929139.49,9800.68
73e4cc08-cca3-46d1-92ab-31c036e1e0a1,4/16/1942,78,,999-10-2536,Ashly243,Hermiston71,M,white,nonhispanic,F,648 Dach Crossing Apt 43,Yarmouth,Massachusetts,Barnstable County,,41.68197976,-70.18403875,1511507.28,29614.82
e22d10c1-6303-4e94-9b7a-a2a39bc29b48,4/26/1967,53,,999-10-2757,Anthony633,Lindgren255,M,white,nonhispanic,F,944 Satterfield Wall,Chicopee,Massachusetts,Hampden County,1013,42.20225487,-72.58848413,683485.85,20791.68
384f2593-ca0e-4147-b6c5-689a6740e125,12/22/1965,54,,999-10-2785,Denisha680,Zboncak558,M,white,nonhispanic,F,149 Treutel Esplanade Apt 53,Cheshire,Massachusetts,Berkshire County,1225,42.58442249,-73.15481847,77598.54,3505.73
